,Player,Player_url,Duration_2019,Type_2019,Season
162,Jamie Vardy,https://www.transfermarkt.com/jamie-vardy/profil/spieler/197838,29,"Knee Injury , Hamstring Injury , Groin Surgery , Groin Injury , Calf Strain ,",2019
163,George Hirst,https://www.transfermarkt.com/george-hirst/profil/spieler/420808,16,"Twisted knee ,",2019
164,Jesús Vallejo,https://www.transfermarkt.com/jesus-vallejo/profil/spieler/251896,99,"Unknown Injury , Corona virus , Knock ,",2019
165,Jonny Otto,https://www.transfermarkt.com/jonny-otto/profil/spieler/175446,27,"Knee Injury ,",2019
166,Rúben Vinagre,https://www.transfermarkt.com/ruben-vinagre/profil/spieler/357158,10,"Sprained ankle ,",2019
167,Matt Doherty,https://www.transfermarkt.com/matt-doherty/profil/spieler/171679,21,"Medial Collateral Ligament Tear , Unknown Injury , Muscle Injury ,",2019
168,Phil Ofosu-Ayeh,https://www.transfermarkt.com/phil-ofosu-ayeh/profil/spieler/133858,130,"Cruciate Ligament Injury , Heel Bone Injury , Muscular problems , Strain , Fitness ,",2019
169,Leander Dendoncker,https://www.transfermarkt.com/leander-dendoncker/profil/spieler/168157,29,"Knock ,",2019
170,Meritan Shabani,https://www.transfermarkt.com/meritan-shabani/profil/spieler/379980,22,"Tear in the abductor muscle , Unknown Injury ,",2019
171,Diogo Jota,https://www.transfermarkt.com/diogo-jota/profil/spieler/340950,71,"Calf Injury , Hamstring Injury , Ankle Injury ,",2019
172,Adama Traoré,https://www.transfermarkt.com/adama-traore/profil/spieler/204103,23,"Hamstring Injury , Hamstring Injury ,",2019
173,Pedro Neto,https://www.transfermarkt.com/pedro-neto/profil/spieler/487465,14,"Ankle Injury ,",2019
174,Raúl Jiménez,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040,6,"Hip problems ,",2019
175,Patrick Cutrone,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078,12,"Back trouble ,",2019
176,Lukasz Fabianski,https://www.transfermarkt.com/lukasz-fabianski/profil/spieler/29692,3,"Arm Injury ,",2019
177,Fabián Balbuena,https://www.transfermarkt.com/fabian-balbuena/profil/spieler/285548,71,"Calf Injury , Virus Infection ,",2019
178,Winston Reid,https://www.transfermarkt.com/winston-reid/profil/spieler/37526,316,"Knock , Knee Injury ,",2019
179,Aaron Cresswell,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,87,"Ankle Injury , Groin Injury , Knock , Knock , Hamstring Injury , Groin Injury , Knee Injury ,",2019
180,Arthur Masuaku,https://www.transfermarkt.com/arthur-masuaku/profil/spieler/181380,40,"Thigh Muscle Strain , Ankle fracture , Knee Surgery ,",2019
181,Ryan Fredericks,https://www.transfermarkt.com/ryan-fredericks/profil/spieler/140191,86,"Knock , Virus Infection ,",2019
182,Pablo Zabaleta,https://www.transfermarkt.com/pablo-zabaleta/profil/spieler/20007,4,"Ill , Twisted knee ,",2019
183,Ben Johnson,https://www.transfermarkt.com/ben-johnson/profil/spieler/468002,7,"Calf Injury ,",2019
184,Declan Rice,https://www.transfermarkt.com/declan-rice/profil/spieler/357662,26,"Ill , Ill ,",2019
185,Carlos Sánchez,https://www.transfermarkt.com/carlos-sanchez/profil/spieler/51226,215,"Knee Surgery ,",2019
186,Mark Noble,https://www.transfermarkt.com/mark-noble/profil/spieler/31835,11,"Chest injury ,",2019
187,Jack Wilshere,https://www.transfermarkt.com/jack-wilshere/profil/spieler/74223,440,"Calf Injury , Groin Injury , Groin Injury , Ankle Surgery ,",2019
188,Manuel Lanzini,https://www.transfermarkt.com/manuel-lanzini/profil/spieler/135853,283,"Groin Injury , Knock ,",2019
189,Felipe Anderson,https://www.transfermarkt.com/felipe-anderson/profil/spieler/159372,23,"Knock , Back Injury ,",2019
190,Andriy Yarmolenko,https://www.transfermarkt.com/andriy-yarmolenko/profil/spieler/69015,222,"Knee Injury ,",2019
191,Robert Snodgrass,https://www.transfermarkt.com/robert-snodgrass/profil/spieler/22614,10,"Knock , Knee Problems ,",2019
192,Sébastien Haller,https://www.transfermarkt.com/sebastien-haller/profil/spieler/181375,35,"Knee Problems ,",2019
193,Michail Antonio,https://www.transfermarkt.com/michail-antonio/profil/spieler/104124,5,"Muscle Injury ,",2019
194,Chicharito,https://www.transfermarkt.com/chicharito/profil/spieler/50935,83,"Cruciate Ligament Rupture , Muscle Injury , Calf Injury ,",2019
195,Nathan Aké,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,7,"Hamstring Injury , Biceps femoris muscle injury ,",2019
196,Steve Cook,https://www.transfermarkt.com/steve-cook/profil/spieler/90836,61,"Knee Injury ,",2019
197,Diego Rico,https://www.transfermarkt.com/diego-rico/profil/spieler/249513,62,"Ankle Injury , Muscle Injury ,",2019
