,Player,Player_url,Duration_2021,Type_2021,Season
194,Abdoulaye Doucouré,https://www.transfermarkt.com/abdoulaye-doucoure/profil/spieler/127187,128,"Foot Injury , Foot Injury ,",2021
195,André Gomes,https://www.transfermarkt.com/andre-gomes/profil/spieler/221025,38,"Bruise , Bruise ,",2021
196,Tom Davies,https://www.transfermarkt.com/tom-davies/profil/spieler/314210,7,"Bruise ,",2021
197,Fabian Delph,https://www.transfermarkt.com/fabian-delph/profil/spieler/50362,168,"Hamstring Injury , Bruise , Hamstring Injury , Bruise ,",2021
198,Tyler Onyango,https://www.transfermarkt.com/tyler-onyango/profil/spieler/663225,184,"Ankle Injury ,",2021
200,Richarlison,https://www.transfermarkt.com/richarlison/profil/spieler/378710,15,"Bruise , Head Injury ,",2021
201,Dominic Calvert-Lewin,https://www.transfermarkt.com/dominic-calvert-lewin/profil/spieler/306024,32,"Hamstring Injury , Muscle Injury ,",2021
202,Moise Kean,https://www.transfermarkt.com/moise-kean/profil/spieler/364135,49,"Muscle Fatigue , Corona virus , Muscular problems , Knock ,",2021
203,Cenk Tosun,https://www.transfermarkt.com/cenk-tosun/profil/spieler/45671,471,"Patella rupture , Corona virus , Edema in the knee , Quarantine , Patella rupture , Corona virus , Edema in the knee ,",2021
204,José Sá,https://www.transfermarkt.com/jose-sa/profil/spieler/249994,50,"Hand Injury ,",2021
205,Matija Sarkic,https://www.transfermarkt.com/matija-sarkic/profil/spieler/293257,194,"Knee Injury , Knee Injury ,",2021
206,Conor Coady,https://www.transfermarkt.com/conor-coady/profil/spieler/128901,36,"Quarantine , Quarantine ,",2021
207,Romain Saïss,https://www.transfermarkt.com/romain-saiss/profil/spieler/204198,35,"Knock , Virus Infection ,",2021
208,Willy Boly,https://www.transfermarkt.com/willy-boly/profil/spieler/142310,59,"Corona virus , Bruise , Muscle Injury ,",2021
209,Rayan Aït-Nouri,https://www.transfermarkt.com/rayan-ait-nouri/profil/spieler/578391,52,"Groin Injury , Bruise , Virus Infection ,",2021
210,Jonny Otto,https://www.transfermarkt.com/jonny-otto/profil/spieler/175446,487,"Knee Injury , Knee Injury ,",2021
211,Marçal,https://www.transfermarkt.com/marcal/profil/spieler/137745,84,"Groin Injury , Knock , Calf Injury ,",2021
212,Rúben Neves,https://www.transfermarkt.com/ruben-neves/profil/spieler/225161,10,"Corona virus ,",2021
213,Leander Dendoncker,https://www.transfermarkt.com/leander-dendoncker/profil/spieler/168157,26,"Knock ,",2021
214,Bruno Jordão,https://www.transfermarkt.com/bruno-jordao/profil/spieler/415646,328,"Unknown Injury ,",2021
